ts_ms,metric_group,metric_name,metric_numeric_value,metric_text,labels
1779380529590,execution,broker_avg_hold_s,0.0,,{}
1779380529590,execution,broker_current_losing_streak,0.0,,{}
1779380529590,execution,broker_worst_losing_streak,0.0,,{}
1779380529590,execution,broker_open_orders,0.0,,{}
1779380529590,execution,broker_broker_mode,,live_alpaca,{}
1779380529590,safety,safe_mode,0.0,,{}
1779380529590,safety,kill_switch,0.0,,{}
1779380529590,safety,runtime_health_status,,OK,{}
1779380529590,safety,api_errors,0.0,,{}
1779380529590,safety,order_rejections,0.0,,{}
1779380529590,safety,stale_data_violations,0.0,,{}
1779380529590,safety,health_messages,,,"{""value_json"": ""[]""}"
1779380529590,system,rss_memory_mb,73.426,,{}
1779380529590,system,thread_count,1.0,,{}
1779380529590,system,sqlite_size_mb,1880.454,,{}
1779380544611,runtime,uptime_seconds,15.087,,{}
1779380544611,runtime,runtime_profile,,dry_run,{}
1779380544611,runtime,process_start_ts,1779380529.0,,{}
1779380544611,runtime,process_start_ts_ms,1779380529524.0,,{}
1779380544611,runtime,pid,42498.0,,{}
1779380544611,runtime,heartbeat_age_seconds,5.006,,{}
1779380544611,market_data,ws_connected,0.0,,{}
1779380544611,market_data,ws_disconnect_count,0.0,,{}
1779380544611,market_data,poll_ok,35.0,,{}
1779380544611,market_data,poll_err,0.0,,{}
1779380544611,market_data,poll_backoff_s,0.0,,{}
1779380544611,market_data,active_symbols,3.0,,{}
1779380544611,market_data,ready_symbols,0.0,,{}
1779380544611,market_data,ready_symbol_list,,,"{""value_json"": ""[]""}"
1779380544611,market_data,stale_symbols,,,"{""value_json"": ""[]""}"
1779380544611,market_data,stale_global,0.0,,{}
1779380544611,ml,feature_updates,29.0,,{}
1779380544611,ml,prediction_count,0.0,,{}
1779380544611,ml,candidate_count,0.0,,{}
1779380544611,ml,ranking_count,0.0,,{}
1779380544611,ml,signal_count,0.0,,{}
1779380544611,ml,inference_failures,0.0,,{}
1779380544611,ml,fallback_predictions,0.0,,{}
1779380544611,ml,last_refresh_ts_ms,,,{}
1779380544611,ml,last_ranking_ts_ms,,,{}
1779380544611,ml,top_symbols,,,"{""value_json"": ""[]""}"
1779380544611,ml,shadow_prediction_count,0.0,,{}
1779380544611,ml,shadow_candidate_count,0.0,,{}
1779380544611,ml,shadow_signal_count,0.0,,{}
1779380544611,ml,shadow_would_trade_count,0.0,,{}
1779380544611,ml,shadow_blocked_execution_count,0.0,,{}
1779380544611,ml,parity_check_count,0.0,,{}
1779380544611,ml,parity_failure_count,0.0,,{}
1779380544611,execution,fills,0.0,,{}
1779380544611,execution,open_positions,0.0,,{}
1779380544611,execution,exposure,0.0,,{}
1779380544611,execution,realized_pnl,0.0,,{}
1779380544611,execution,unrealized_pnl,0.0,,{}
1779380544611,execution,equity,100.0,,{}
1779380544611,execution,cash,100.0,,{}
1779380544611,execution,rejected_orders,0.0,,{}
1779380544611,execution,open_orders,0.0,,{}
1779380544611,execution,broker_realized_pnl,0.0,,{}
1779380544611,execution,broker_trades,0.0,,{}
1779380544611,execution,broker_wins,0.0,,{}
1779380544611,execution,broker_losses,0.0,,{}
1779380544611,execution,broker_win_rate,0.0,,{}
1779380544611,execution,broker_avg_hold_s,0.0,,{}
1779380544611,execution,broker_current_losing_streak,0.0,,{}
1779380544611,execution,broker_worst_losing_streak,0.0,,{}
1779380544611,execution,broker_open_orders,0.0,,{}
1779380544611,execution,broker_broker_mode,,live_alpaca,{}
1779380544611,safety,safe_mode,0.0,,{}
1779380544611,safety,kill_switch,0.0,,{}
1779380544611,safety,runtime_health_status,,OK,{}
1779380544611,safety,api_errors,0.0,,{}
1779380544611,safety,order_rejections,0.0,,{}
1779380544611,safety,stale_data_violations,0.0,,{}
1779380544611,safety,health_messages,,,"{""value_json"": ""[]""}"
1779380544611,system,rss_memory_mb,80.75,,{}
1779380544611,system,thread_count,2.0,,{}
1779380544611,system,sqlite_size_mb,1881.231,,{}
1779380559626,runtime,uptime_seconds,30.103,,{}
1779380559626,runtime,runtime_profile,,dry_run,{}
1779380559626,runtime,process_start_ts,1779380529.0,,{}
1779380559626,runtime,process_start_ts_ms,1779380529524.0,,{}
1779380559626,runtime,pid,42498.0,,{}
1779380559626,runtime,heartbeat_age_seconds,0.0,,{}
1779380559626,market_data,ws_connected,0.0,,{}
1779380559626,market_data,ws_disconnect_count,0.0,,{}
1779380559626,market_data,poll_ok,68.0,,{}
1779380559626,market_data,poll_err,0.0,,{}
1779380559626,market_data,poll_backoff_s,0.0,,{}
1779380559626,market_data,active_symbols,3.0,,{}
1779380559626,market_data,ready_symbols,0.0,,{}
1779380559626,market_data,ready_symbol_list,,,"{""value_json"": ""[]""}"
1779380559626,market_data,stale_symbols,,,"{""value_json"": ""[]""}"
1779380559626,market_data,stale_global,0.0,,{}
1779380559626,ml,feature_updates,62.0,,{}
1779380559626,ml,prediction_count,0.0,,{}
1779380559626,ml,candidate_count,0.0,,{}
